code	symbol
0	Control
1275	11350256
1276	11350462
1277	11350701
1278	11351021
1279	11352536
1280	11353475
1281	11353973
1282	11355126
1283	1135867
1284	11359093
1285	11360391
1286	11362875
1287	11363
1288	11363176
1289	11364421
1290	11365087
1291	11367
1292	11368
1293	11370
1294	11371
1295	11371328
1296	11371604
1297	11372270
1298	11372448
1299	11373846
1300	11374217
1301	11380684
1302	11381449
1303	11382492
1304	11383075
1305	11384493
1306	11385779
1307	11386458
1308	11387409
1309	11387605
1310	11388331
1311	11388558
1312	1138914
1313	11390018
1314	11393191
1315	11395145
1316	11395181
1317	11397521
1318	11398092
1319	11398430
1320	11398455
1321	11399764
1322	11404337
1323	11405422
1324	11405589
1325	1140587
1326	11407306
1327	11409972
1328	11413570
1329	11414799
1330	11416123
1331	11416762
1332	11418978
1333	11422787
1334	11424237
1335	1142445
1336	11425923
1337	11427553
1338	11427778
1339	11428
1340	11431204
1341	11431660
1342	11433190
1343	1143390
1344	11434515
1345	11434888
1346	11436477
1347	11438491
1348	11438771
1349	11440648
1350	11442891
1351	1144328
1352	1145
1353	11450633
1354	11451527
1355	11452022
1356	11452716
1357	11453158
1358	11454028
1359	11455910
1360	11461
1361	114611
1362	11462174
1363	11462546
1364	114627
1365	11464405
1366	11464503
1367	11466357
1368	11466607
1369	11467730
1370	11467934
1371	114683
1372	11468733
1373	11469862
1374	114709
1375	11472829
1376	11473982
1377	114750
1378	11476171
1379	11476460
1380	11477084
1381	114771
1382	114776
1383	11477833
1384	11478363
1385	11478676
1386	11479437
1387	1148
1388	114810
1389	114811
1390	11481147
1391	11481862
1392	114825
1393	114829
1394	114840
1395	11484479
1396	11485200
1397	11485656
1398	11485745
1399	114864
1400	114869
1401	114880
1402	11488110
1403	11488320
1404	114886
1405	114888
1406	114904
1407	11491176
1408	114917
1409	11491905
1410	114924
1411	114926
1412	11492761
1413	11492836
1414	114933
1415	114935
1416	11493598
1417	11493841
1418	11494412
1419	11494496
1420	11494970
1421	11496376
1422	1149650
1423	11497983
1424	11498684
1425	11499198
1426	11499245
1427	114999
1428	1150
1429	115000
1430	115012
1431	11501226
1432	11501591
1433	11502243
1434	11502846
1435	11502871
1436	11503417
1437	11503972
1438	115067
1439	1150683
1440	11507802
1441	115087
1442	11508736
1443	11508879
1444	1150897
1445	1151030
1446	11510579
1447	115111
1448	11511120
1449	115113
1450	11514721
1451	115149
1452	11515812
1453	115162
1454	115163
1455	11517212
1456	115175
1457	11517980
1458	11518143
1459	11518241
1460	11519069
1461	11519070
1462	115193
1463	115196
1464	11519678
1465	11519741
1466	115198
1467	115210
1468	11521428
1469	11521821
1470	115219
1471	1152206
1472	11522448
1473	115227
1474	115237
1475	115239
1476	11524144
1477	11524200
1478	115244
1479	11524454
1480	11524901
1481	11525740
1482	11525848
1483	115260
1484	115268
1485	115269
1486	11527330
1487	11527474
1488	11527661
1489	115288
1490	11528958
1491	115292
1492	1153
1493	11531457
1494	11531745
1495	11533060
1496	115348
1497	11534927
1498	115355
1499	115366
1500	115367
1501	115368
1502	11536903
1503	11538455
1504	11539025
1505	11539477
1506	11539879
1507	11541511
1508	11542188
1509	11545419
1510	11546102
1511	11546620
1512	11547341
1513	11548
1514	11548023
1515	11548266
1516	11548630
1517	11550001
1518	11551001
1519	11551689
1520	11552706
1521	11556427
1522	11556440
1523	11556558
1524	11556711
1525	11557040
1526	11557669
1527	11557770
1528	11559
1529	11560225
1530	11560787
1531	11560842
1532	11561383
1533	11561462
1534	11561674
1535	11561899
1536	11563984
1537	11565176
1538	11565518
1539	11567473
1540	11569
1541	11569967
1542	11570626
1543	11570805
1544	11571559
1545	11574162
1546	11575713
1547	11575823
1548	11577204
1549	11577870
1550	11578213
1551	11578610
1552	11579
1553	11581936
1554	11584834
1555	11585006
1556	11587013
1557	115887305
1558	11588811
1559	11589523
1560	11589703
1561	1159052
1562	11591339
1563	11591741
1564	11591924
1565	11592917
1566	11594004
1567	11595029
1568	11595431
1569	11595577
1570	11596613
1571	11597485
1572	11597537
1573	11598628
1574	11599548
1575	11600642
1576	11604108
1577	11609157
1578	11609586
